NAME,RACE,AGE,SEX,CRIME,METHOD,DAY,MONTH,YEAR,STATE
(HOWE),Black,,M,Murder,Hanging,26,1,1771,NC
(HOWLETT),Black,,,Unspecified Felony ,Hanging,,,1781,VA
(HUDSON),Black,,M,Poisoning,Hanging,,4,1770,VA
(JERNEGAN),Black,,F,Murder,Burned,13,7,1805,NC
(JERNEGAN),Black,,M,Murder,Hanging,17,7,1805,NC
(JERNEGAN),Black,,M,Murder,Hanging,17,7,1805,NC
(JERNEGAN),Black,,M,Murder,Hanging,17,7,1805,NC
(JERNIGAN),Black,,M,Murder,Hanging,21,4,1783,NC
(JONES),Black,,M,unknown,Hanging,22,11,1785,NC
(JONES),Black,,,unknown,Hanging,9,5,1857,AL
(JONES),Black,,M,Murder,Hanging,13,12,1796,VA
(JONES),Black,,F,unknown,Hanging,5,2,1840,AL
(JORDAN),Black,,,unknown,Hanging,30,4,1784,NC
(KEY),Black,,M,Murder,Hanging,,,1755,MD
(KINDRED),Black,,M,unknown,Hanging,26,4,1784,NC
(KLADY),Black,,,Murder,Hanging,,,1837,LA
(LAWLER),Black,,,unknown,Hanging,17,12,1836,AL
(LEBLANC),Black,,F,Arson,Hanging,,,1835,LA
(LEBLANC),Black,,M,Arson,Hanging,,,1835,LA
(LIPSCOMB),Black,,,unknown,Hanging,20,12,1850,AL
(LOCKE),Black,,,unknown,Hanging,30,4,1784,NC
(LOUNT),Black,,M,Robbery - Murder,Hanging,25,7,1862,TX
(LYNCH),Black,,,unknown,Hanging,23,6,1859,AL
(MARKET),Black,,,unknown,Hanging,1,5,1848,AL
(MASON),Black,,,unknown,Hanging,,,1784,VA
(MATTHEWS),Black,,,unknown,Hanging,24,11,1857,AL
(MAZYCK),Black,,M,Robbery,Hanging,23,1,1733,SC
(MCCANTAY),Black,,M,Murder,Hanging,11,5,1850,AL
(MCFADDEN),Black,,,unknown,Hanging,25,7,1853,AL
(MERCHANT),Black,,,unknown,Hanging,24,3,1857,AL
(MONK),Black,,M,Murder,Burned,9,2,1791,SC
(MORRIS),Black,,M,Murder,Hanging,,10,1695,NJ
(MOUNTCASTLE),Black,,M,Unspecified Felony ,Hanging,,,1781,VA
(MURRAY),Black,,,unknown,Hanging,8,1,1841,AL
(MYERS),Black,,,Slave Revolt,Hanging,,,1840,LA
(NUNN),Black,,,unknown,Hanging,15,12,1840,AL
(OGREYER),Black,,,unknown,Hanging,14,10,1864,AL
(OWENS),Black,,,unknown,Hanging,22,10,1859,AL
(PARKER),Black,17,M,Murder,Hanging,27,8,1848,GA
(PHILLIPS),Black,,M,Murder,Hanging,5,10,1855,TX
(PICOU),Black,,,Slave Revolt,Hanging,,,1840,LA
(POOL),Black,,M,Housebreaking - Burglary ,Hanging,2,6,1780,VA
(PRESTON),Black,,,Murder,Hanging,8,3,1841,LA
(PRESTON),Black,,,Murder,Hanging,8,3,1841,LA
(PRESTON),Black,,,Murder,Hanging,8,3,1841,LA
(PRUDDEN),Black,,F,Murder,Burned,,2,1737,VA
(PUGH),Black,,,Murder,Hanging,,,1837,LA
(PUGH),Black,,,Murder,Hanging,,,1837,LA
(PURDON),Black,,,unknown,Hanging,20,3,1839,LA
(RANDOLPH),Black,,M,Poisoning,Hanging,,5,1770,VA
(RANDOLPH),Black,,M,Poisoning,Hanging,21,7,1788,VA
(RANDOLPH),Black,,,Murder,Hanging,,,1837,LA
(RANDOLPH),Black,,,Murder,Hanging,,,1837,LA
(REED),Black,,,unknown,Hanging,29,11,1854,AL
(ROBBINS),Black,,,unknown,Hanging,26,4,1852,AL
(ROWLAND),Black,,,unknown,Hanging,18,1,1865,AL
(RUMSEY),Black,,F,Murder,Hanging,,,1812,KY
(SAVAGE),Black,,,unknown,Hanging,26,4,1784,NC
(SCOTT),Black,,,unknown,Hanging,20,5,1857,AL
(SCOTT),Black,,M,Murder,Hanging,22,11,1785,NC
(SCRUGGS),Black,,,unknown,unknown,2,8,1787,VA
(SHANNON),Black,,,unknown,Hanging,10,12,1851,AL
(SHAUNTEE),Black,,M,Rape,Hanging,,,1838,KY
(SHEPHARD),Black,,,Unspecified Felony ,Hanging,10,12,1782,VA
(SHEPHERD),Black,,,Unspecified Felony ,Hanging,,,1784,VA
(SNEED),Black,,M,Robbery - Murder,Hanging,5,10,1855,LA
(SNEED),Black,,M,Robbery - Murder,Hanging,5,10,1855,LA
(SNEED),Black,,M,Robbery - Murder,Hanging,5,10,1855,LA
(SNEED),Black,,,Robbery - Murder,Hanging,5,10,1855,LA
(STEVENS),Black,,,Unspecified Felony ,Hanging,,10,1861,VA
(STEWART),Black,,,Murder,Hanging,19,12,1857,AL
(STEWART),Black,,,Murder,Hanging,19,12,1857,AL
(STEWART),Black,,,Murder,Hanging,19,12,1857,AL
(STEWART),Black,,,Murder,Hanging,19,12,1857,AL
(STEWART),Black,,,Murder,Hanging,19,12,1857,AL
(STUART),Black,,,unknown,Hanging,20,8,1858,AL
(STUART),Black,,M,Slave Revolt,Hanging,,1,1781,SC
(STUCKEY),Black,,F,Murder,Hanging,24,2,1825,SC
(SWEARINGEN,Black,,M,Murder,Hanging,25,2,1835,AL
(SWEARINGEN),Black,,M,Murder,Hanging,25,2,1835,AL
(SWEARINGEN),Black,,M,Murder,Hanging,25,2,1835,AL
(TATE),Black,,,unknown,Hanging,26,9,1856,AL
(TOWNS),Black,,,unknown,Hanging,15,10,1860,AL
(TWOGOOD),Black,,,Arson,Hanging,,,1837,LA
(VALLETT),Black,,M,Attempted Rape,Hanging,27,1,1734,NY
(VAN ESTE),Black,,M,Murder,Burned,27,12,1752,NJ
(WALKER),Black,,,unknown,Hanging,15,5,1848,AL
(WALKER),Black,,,unknown,Hanging,20,4,1855,AL
(WARD),Black,,F,Murder,Hanging,11,12,1770,NC
(WATTS FLOWERS),Black,,M,Slave Revolt,Hanging,2,7,1776,LA
(WELLS),Black,,,Unspecified Felony ,Hanging,,1,1780,VA
(WELLS),Black,,M,unknown,Hanging,27,2,1734,NC
(WEST),Black,,M,unknown,Hanging,30,4,1784,NC
(WHITE),Black,,,unknown,Hanging,27,1,1851,AL
(WHITE),Black,,,unknown,Hanging,7,1,1841,AL
